Attempt,Runtime,Precision,Recall,Line,Constraint,Readable_Constraint
1,30.463,0.85,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))),"
2,264.05,0.9,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")')))"
3,85.097,0.88,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), "
4,125.796,0.89,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.89473684210"
5,54.504,0.69,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0"
6,688.011,0.93,1.0,8,"exists <RPAR> elem in start:
(= elem "">"")","ExistsFormula(BoundVariable(""elem"", ""<RPAR>""), Constant(""start"", ""<start>""), SMTFormula('(= elem "">"")', BoundVariable(""elem"", ""<RPAR>""), )), 0.92592592592"
7,31.461,0.82,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.82352941176"
8,23.091,0.89,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")'))), 0.88888888888"
9,52.767,0.8,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")')))"
10,62.296,0.8,1.0,8,"exists <html> elem_xy in start:
inside(elem_xy, start)","ExistsFormula(BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>""), PredicateFormula((""StructuralPredicate(name='inside', arity=2, eval_fun=<function in_tree at 0x7f85fa0bf130>)"", 'BoundVariable(""elem_xy"", ""<html>""), Constant(""start"", ""<start>"")')))"
